K = Z3(a) = Z3[x] / x^2 + 2*x + 2
p=3; n=9; d=2*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + 1>; f=x^9 + 9*x^3 + 18*x^2 + 3; Aut=2T1; Gal=9T15
p=3; n=9; d=w^7*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^3>; f=x^9 + (9*a + 18)*x^3 + (9*a + 18)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^7*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^3>; f=x^9 + (9*a + 18)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=1*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + 2>; f=x^9 + 9*x^3 + 9*x^2 + 3; Aut=2T1; Gal=9T15
p=3; n=9; d=1*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + 2>; f=x^9 + 9*a*x^3 + 9*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=1*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + 2>; f=x^9 + (9*a + 9)*x^3 + 9*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=1*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + 2>; f=x^9 + (18*a + 9)*x^3 + 9*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=1*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + 2>; f=x^9 + 18*x^3 + 9*x^2 + 3; Aut=2T1; Gal=9T15
p=3; n=9; d=1*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + 2>; f=x^9 + 18*a*x^3 + 9*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=1*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + 2>; f=x^9 + (18*a + 18)*x^3 + 9*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=1*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + 2>; f=x^9 + (9*a + 18)*x^3 + 9*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=1*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + 2>; f=x^9 + 9*x^2 + 3; Aut=2T1; Gal=9T15
p=3; n=9; d=w*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^5>; f=x^9 + 9*x^3 + 9*a*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^5>; f=x^9 + 9*a*x^3 + 9*a*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^5>; f=x^9 + (9*a + 9)*x^3 + 9*a*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^5>; f=x^9 + (18*a + 9)*x^3 + 9*a*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^5>; f=x^9 + 18*x^3 + 9*a*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^5>; f=x^9 + 18*a*x^3 + 9*a*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^5>; f=x^9 + (18*a + 18)*x^3 + 9*a*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^5>; f=x^9 + (9*a + 18)*x^3 + 9*a*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^5>; f=x^9 + 9*a*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^2*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^6>; f=x^9 + 9*x^3 + (9*a + 9)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^2*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^6>; f=x^9 + 9*a*x^3 + (9*a + 9)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^2*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^6>; f=x^9 + (9*a + 9)*x^3 + (9*a + 9)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^2*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^6>; f=x^9 + (18*a + 9)*x^3 + (9*a + 9)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^2*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^6>; f=x^9 + 18*x^3 + (9*a + 9)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^2*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^6>; f=x^9 + 18*a*x^3 + (9*a + 9)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^2*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^6>; f=x^9 + (18*a + 18)*x^3 + (9*a + 9)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^2*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^6>; f=x^9 + (9*a + 18)*x^3 + (9*a + 9)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^2*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^6>; f=x^9 + (9*a + 9)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^3*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^7>; f=x^9 + 9*x^3 + (18*a + 9)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^3*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^7>; f=x^9 + 9*a*x^3 + (18*a + 9)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^3*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^7>; f=x^9 + (9*a + 9)*x^3 + (18*a + 9)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^3*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^7>; f=x^9 + (18*a + 9)*x^3 + (18*a + 9)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^3*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^7>; f=x^9 + 18*x^3 + (18*a + 9)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^3*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^7>; f=x^9 + 18*a*x^3 + (18*a + 9)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^3*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^7>; f=x^9 + (18*a + 18)*x^3 + (18*a + 9)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^3*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^7>; f=x^9 + (9*a + 18)*x^3 + (18*a + 9)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=w^3*p^19+...; I=[ 11, 9, 0 ]; R=[ <1, 11>, <9, 0> ]; A=<t + w^7>; f=x^9 + (18*a + 9)*x^2 + 3; Aut=1T1; Gal=9T15
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 9*a*x^6 + 9*x^5 + 9*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 18*a*x^6 + 9*x^5 + 9*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 9*x^5 + 9*x^4 + 6*x^3 + 18*x^2 + 3; Aut=6T2; Gal=9T12
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 9*a*x^6 + 9*a*x^5 + 9*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 18*a*x^6 + 9*a*x^5 + 9*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 9*a*x^5 + 9*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 9*a*x^6 + (9*a + 9)*x^5 + 9*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 18*a*x^6 + (9*a + 9)*x^5 + 9*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + (9*a + 9)*x^5 + 9*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 9*a*x^6 + (18*a + 9)*x^5 + 9*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 18*a*x^6 + (18*a + 9)*x^5 + 9*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + (18*a + 9)*x^5 + 9*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 9*a*x^6 + 18*x^5 + 9*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 18*a*x^6 + 18*x^5 + 9*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 18*x^5 + 9*x^4 + 6*x^3 + 18*x^2 + 3; Aut=6T2; Gal=9T12
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 9*a*x^6 + 18*a*x^5 + 9*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 18*a*x^6 + 18*a*x^5 + 9*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 18*a*x^5 + 9*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 9*a*x^6 + (18*a + 18)*x^5 + 9*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 18*a*x^6 + (18*a + 18)*x^5 + 9*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + (18*a + 18)*x^5 + 9*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 9*a*x^6 + (9*a + 18)*x^5 + 9*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 18*a*x^6 + (9*a + 18)*x^5 + 9*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + (9*a + 18)*x^5 + 9*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 9*a*x^6 + 9*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 18*a*x^6 + 9*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 9*x^4 + 6*x^3 + 18*x^2 + 3; Aut=6T2; Gal=9T12
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 9*a*x^6 + 9*x^5 + 9*a*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 18*a*x^6 + 9*x^5 + 9*a*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 9*x^5 + 9*a*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 9*a*x^6 + 9*a*x^5 + 9*a*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 18*a*x^6 + 9*a*x^5 + 9*a*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 9*a*x^5 + 9*a*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 9*a*x^6 + (9*a + 9)*x^5 + 9*a*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 18*a*x^6 + (9*a + 9)*x^5 + 9*a*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + (9*a + 9)*x^5 + 9*a*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 9*a*x^6 + (18*a + 9)*x^5 + 9*a*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
p=3; n=9; d=2*p^19+...; I=[ 11, 3, 0 ]; R=[ <1, 11>, <3, 3>, <9, 0> ]; A=<t^2 + 1, t^3 + 1>; f=x^9 + 18*a*x^6 + (18*a + 9)*x^5 + 9*a*x^4 + 6*x^3 + 18*x^2 + 3; Aut=3T1; Gal=0T0
